R Amine Loading,L Amine Loading
0.4814741632,0.01009952285
0.4814748327,0.01009966629
0.4814753177,0.01009966629
0.4814758025,0.01009966629
0.456718637,0.0108357094
0.4567190893,0.0108357094
0.4567195412,0.0108357094
0.4567199954,0.0108357094
0.4346161159,0.01161020963
0.4346165441,0.01161020963
0.4346169675,0.01161020963
0.4346173931,0.01161020963
0.4147935198,0.0124325591
0.4147939363,0.0124325591
0.4147943344,0.0124325591
0.414795142,0.0124329646
0.4814856494,0.01009983264
0.4814861421,0.01009983264
0.4814866785,0.01009983264
0.4814872203,0.01009983264
0.4567291176,0.01083582269
0.4567296236,0.01083582269
0.4567301293,0.01083582269
0.4567306376,0.01083582269
0.4346259797,0.01161033628
0.4346264582,0.01161033628
0.4346269344,0.01161033628
0.4346274132,0.01161033628
0.4148028625,0.0124326987
0.4148033317,0.0124326987
0.4148037824,0.0124326987
0.4148042359,0.0124326987
0.4814980959,0.01009989877
0.4814986485,0.01009989877
0.4814992449,0.01009989877
0.4814998469,0.01009989877
0.4567408292,0.01083589483
0.4567413941,0.01083589483
0.4567419591,0.01083589483
0.4567425269,0.01083589483
0.434637049,0.01161041625
0.4346375818,0.01161041625
0.4346381179,0.01161041625
0.4346386561,0.01161041625
0.414813388,0.01243278726
0.4148139128,0.01243278726
0.4148144209,0.01243278726
0.4148149328,0.01243278726
0.4815119422,0.01009994456
0.4815125602,0.01009994456
0.4815132223,0.01009994456
0.48151389,0.01009994456
0.4567539284,0.01083594496
0.4567545505,0.01083594496
0.4567551873,0.01083594496
0.4567558134,0.01083594496
0.4346494742,0.01161047215
0.434650076,0.01161047215
0.4346506756,0.01161047215
0.4346512769,0.01161047215
0.4148252588,0.01243285051
0.4148258386,0.01243285051
0.4148264133,0.01243285051
0.4148269894,0.01243285051
0.4809499451,0.009571493189
0.4809503788,0.009571493189
0.4809508618,0.009571493189
0.4809513502,0.009571493189
0.4561336553,0.01024677465
0.4561341042,0.01024677465
0.4561345587,0.01024677465
0.4561350146,0.01024677465
0.4339610404,0.01095088717
0.4339614632,0.01095088717
0.4339618882,0.01095088717
0.4339623157,0.01095088717
0.4140550169,0.01168945582
0.4140554258,0.01168945582
0.4140558259,0.01168945582
0.4140562289,0.01168945582
0.480961177,0.009571587925
0.4809616517,0.009571587925
0.4809621901,0.009571587925
0.4809627337,0.009571587925
0.4561441675,0.01024688222
